# source: resources/Workstream 2 - Schema and Data Model/Cell Science Metadata/AICS_AIND_Data_Schema_Field_Crosswalk.xlsx
# original kept: yes


### sheet: Summary

AICS to AIND Data Schema Gap Analysis
Pinned reference: aind-data-schema v2.9.0 | Source: AICS candidate schema 0.6.0 slim REMBI-categorized primary-image view
Source records | 33184
Top-level fields | 186
Nested child fields | 49
AIND required checks | 42
Reference version | aind-data-schema v2.9.0
Prepared | 2026-08-25 16:00:00
Top-level mapping status | Count | Share |  | AIND required-gap severity | Count
Direct | 11 | 0.05913978494623656 |  | High | 28
Partial | 75 | 0.4032258064516129 |  | Medium | 9
Extension container | 48 | 0.25806451612903225 |  | Low | 5
No first-class analog | 23 | 0.12365591397849462
Platform or manifest | 10 | 0.053763440860215055
Derived/search-only | 19 | 0.10215053763440861
Interpretation
Only 11 top-level fields have a direct semantic destination. Direct mapping does not make the surrounding AIND object valid: 42 required or conditionally required target checks were assessed separately, and 28 are high-severity gaps. The dominant blockers are acquisition-level aggregation, cell-line/specimen identity, timing and device configuration, plate/well design, and missing administrative provenance.

### sheet: Top-level Crosswalk

Top-level AICS to AIND Crosswalk
All 186 physical top-level fields in the supplied Parquet view. Filters and conditional colors are enabled.
AICS field | AICS category | Description | AICS type | Requirement | Nested path | AIND target | Mapping status | Severity | Recommendation | Mapping note | Resolution layer | Reference version | Reference URL
metadata_record_id | Governance, Provenance & Quality | Stable identifier for one metadata inventory record. | string | required |  | metadata.other_identifiers[] | Partial | Medium | R1 | Preserve as a secondary identifier; it identifies a file row, not necessarily the AIND acquisition asset. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
dataset_name | Study & Dataset | Controlled name of one of the five top-level datasets. | string | required |  | data_description.project_name | Partial | Medium | R1 | Closest project-level concept; confirm one AICS dataset equals one AIND project. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
collection_name | Study & Dataset | Dataset-internal collection or subgroup label. | string | optional |  | data_description.tags[] | Partial | Medium | R1 | AIND has no identified collection object; tags are lossy. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
acquisition_group_id | Image Acquisition | Harmonized metadata field for acquisition group id. | string | optional |  | data_description.name / acquisition identity (derived) | Partial | High | R1 | Best candidate for grouping file rows into an AIND acquisition asset, but AIND identity is time-based. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
acquisition_type | Image Acquisition | Harmonized metadata field for acquisition type. | string | optional |  | acquisition.acquisition_type | Direct | Low | R4 | Open string in both models; normalize values across datasets. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
sample_state | Specimen & Experimental Conditions | Harmonized metadata field for sample state. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
file_name | Image Data & File Asset | Display name of the governed asset. | string | required |  | ImagingConfig.images[].file_name or metadata.name | Partial | High | R1 | AIND metadata.name identifies the whole asset; image file_name exists only in selected image classes. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
file_path | Image Data & File Asset | Display or storage path of the governed asset. | string | required |  | metadata.location or ImagingConfig.images[].file_name | Partial | High | R1 | One AIND location describes an asset root, while AICS stores one path per file row. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_file_id | Image Data & File Asset | Harmonized metadata field for source file id. | string | optional |  | metadata.other_identifiers[] | Partial | Low | R1 | Preserve as a secondary identifier with namespace. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_asset_id | Image Data & File Asset | Harmonized metadata field for source asset id. | string | optional |  | metadata.other_identifiers[] or data_description.source_data[] | Partial | Medium | R1 | Use other_identifiers for identity; use source_data only when it denotes provenance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_file_name | Image Data & File Asset | Harmonized metadata field for source file name. | string | optional |  | ImagingConfig.images[].file_name or file-manifest extension | Partial | Medium | R5 | AIND lacks a generic per-file manifest across all imaging modalities. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
file_size_bytes | Image Data & File Asset | Harmonized metadata field for file size bytes. | int64 | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
source_file_size_bytes | Image Data & File Asset | Harmonized metadata field for source file size bytes. | int64 | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
thumbnail_uri | Image Data & File Asset | Harmonized metadata field for thumbnail uri. | string | optional |  | File manifest / registry platform | Platform or manifest | Medium | R5 | Useful per-file discovery or storage metadata without a generic AIND core field. | File-manifest/platform layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
uploaded_by | Governance, Provenance & Quality | Harmonized metadata field for uploaded by. | string | optional |  | Registry policy / data_description.data_summary or restrictions | Partial | Medium | R9/R10 | Route portable scientific meaning separately from platform governance. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
uploaded_at | Governance, Provenance & Quality | Harmonized metadata field for uploaded at. | string | optional |  | data_description.creation_time | Partial | High | R10 | Upload time is not necessarily file creation or acquisition time; do not substitute without policy. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
file_type | Image Data & File Asset | Normalized physical file or container format. | string | required |  | data_description.modalities[] plus file-manifest extension | Partial | Medium | R5 | Physical format and scientific modality are different concepts. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
asset_role | Image Data & File Asset | Scientific or technical role of the asset. | string | required |  | data_description.data_level | Partial | Medium | R5 | Raw/derived overlap exists, but AICS asset roles are more granular. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line | Biological Source | Canonical AICS cell-line identifier without leading zeros. | string | conditional_required |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
parental_cell_line | Biological Source | Project-level parental cell-line description. | string | required |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
biological_entity | Biological Source | Controlled class of biological entity represented by the asset. | string | required |  | subject/specimen profile | Partial | High | R2 | Use to select a cell-line/specimen profile; no matching AIND subject subtype exists. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
clone | Biological Source | Cell-line clone identifier stored as text. | string | conditional_required |  | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
structure | Image Data & File Asset | Normalized biological structure associated with the asset or channel. | string | conditional_required |  | Channel.intended_measurement or Plane.targeted_structure | Partial | Medium | R4 | Target depends on whether the value describes a channel label or anatomical/imaged structure. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
instrument_id | Image Acquisition | Harmonized metadata field for instrument id. | string | optional |  | instrument.instrument_id; acquisition.instrument_id | Direct | Low | R4 | Use as the cross-file instrument identifier; values must agree. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
instrument_name | Image Acquisition | Harmonized metadata field for instrument name. | string | optional |  | instrument.components[Microscope].name | Direct | Low | R4 | Maps to the microscope device name; device identity details remain sparse. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
objective_magnification | Image Acquisition | Harmonized metadata field for objective magnification. | double | optional |  | instrument.components[Objective].magnification | Direct | Low | R4 | Numeric value maps directly. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
objective_numerical_aperture | Image Acquisition | Harmonized metadata field for objective numerical aperture. | double | optional |  | instrument.components[Objective].numerical_aperture | Direct | Low | R4 | Numeric value maps directly. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
objective_immersion | Image Acquisition | Harmonized metadata field for objective immersion. | string | optional |  | instrument.components[Objective].immersion | Direct | Low | R4 | Normalize to the AIND immersion vocabulary. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
objective_model | Image Acquisition | Harmonized metadata field for objective model. | string | optional |  | instrument.components[Objective].model | Direct | Low | R4 | Model maps directly; Objective.name still needs a stable device name. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
binning | Image Acquisition | Harmonized metadata field for binning. | string | optional |  | instrument.components[Camera].bin_mode/bin_width/bin_height | Partial | Medium | R4 | Parse the source string into typed camera binning fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
exposure_time_ms | Image Acquisition | Harmonized metadata field for exposure time ms. | double | optional |  | acquisition.data_streams[].configurations[ImagingConfig].channels[].detector.exposure_time | Direct | Low | R4 | Convert milliseconds to an AIND value plus exposure_time_unit. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
laser_488_power_mw | Image Acquisition | Harmonized metadata field for laser 488 power mw. | double | optional |  | Channel.light_sources[LaserConfig wavelength=488].power | Partial | Medium | R4 | Requires a named Laser device in instrument components and an explicit unit. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
laser_638_power_mw | Image Acquisition | Harmonized metadata field for laser 638 power mw. | double | optional |  | Channel.light_sources[LaserConfig wavelength=638].power | Partial | Medium | R4 | Requires a named Laser device in instrument components and an explicit unit. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
